seg_key,seg_id,freq,assigned_label,post_commodity,post_title,post_proper_name,stability
"10,67,1",seg_00043,4,commodity,0.9449754020897735,0.0,0.0550245979102267,0.975609756097561
"1,21,11,70,1,33,5",seg_00050,3,commodity,0.9999999956675101,0.0,4.332490579314849e-09,1.0
"1,3,12,26,2",seg_00051,3,commodity,0.9999999686159264,0.0,3.138407420018374e-08,1.0
"1,3,12,38,2",seg_00052,3,commodity,0.9999999686159264,0.0,3.138407420018374e-08,1.0
"1,3,12,56,2",seg_00053,3,commodity,0.9999999686159264,0.0,3.138407420018374e-08,1.0
"1,41,12,26,2",seg_00054,3,commodity,0.9999999686159264,0.0,3.138407420018374e-08,1.0
"1,41,12,51,2",seg_00055,3,commodity,0.9999999686159264,0.0,3.138407420018374e-08,0.975609756097561
"10,2,1",seg_00056,3,commodity,0.9999994059745086,0.0,5.940254908644873e-07,1.0
"18,10,70,1",seg_00060,3,commodity,0.9999999058812366,0.0,9.411876322399787e-08,1.0
"24,10,67,1",seg_00062,3,commodity,0.9999999058812366,0.0,9.411876322399787e-08,1.0
"24,10,70,1",seg_00063,3,commodity,0.9999999058812366,0.0,9.411876322399787e-08,1.0
"37,1,6,10",seg_00067,3,commodity,0.9999999999989679,1.0318986553644205e-12,0.0,0.975609756097561
"37,1,61,10",seg_00068,3,commodity,0.9999999999989679,1.0318986553644205e-12,0.0,1.0
"6,10,67,1",seg_00074,3,commodity,0.9999999058812366,0.0,9.411876322399787e-08,1.0
"61,10,70,1",seg_00076,3,commodity,0.9999999058812366,0.0,9.411876322399787e-08,1.0
"1,21,11,2,1,33,5",seg_00080,2,commodity,0.9999999999954063,0.0,4.594610794033797e-12,1.0
"1,21,11,67,1,33,5",seg_00081,2,commodity,0.9999999999954063,0.0,4.594610794033797e-12,1.0
"1,3,12,25,2",seg_00082,2,commodity,0.9999999999667182,0.0,3.3282844437330675e-11,1.0
"1,3,12,27,2",seg_00083,2,commodity,0.9999999999667182,0.0,3.328284443733588e-11,1.0
"1,3,12,28,2",seg_00084,2,commodity,0.9999999999667182,0.0,3.328284443733588e-11,1.0
"1,3,12,44,2",seg_00085,2,commodity,0.9999999999667182,0.0,3.328284443733588e-11,0.975609756097561
"1,3,12,46,5",seg_00086,2,commodity,0.9999999999667182,0.0,3.3282844437330675e-11,1.0
"1,3,12,51,2",seg_00087,2,commodity,0.9999999999667182,0.0,3.328284443733588e-11,1.0
"1,41,12,25,2",seg_00088,2,commodity,0.9999999999667182,0.0,3.328284443733588e-11,1.0
"1,41,12,27,2",seg_00089,2,commodity,0.9999999999667182,0.0,3.328284443733588e-11,1.0
"1,41,12,28,2",seg_00090,2,commodity,0.9999999999667182,0.0,3.328284443733588e-11,1.0
"1,41,12,38,2",seg_00091,2,commodity,0.9999999999667182,0.0,3.328284443733588e-11,0.975609756097561
"1,41,12,44,2",seg_00092,2,commodity,0.9999999999667182,0.0,3.328284443733588e-11,1.0
"1,41,12,52,2",seg_00093,2,commodity,0.9999999999667182,0.0,3.328284443733588e-11,1.0
